timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1787394347,4414,6,0,152,60
1787394407,4414,6,0,152,120
1787394468,4414,6,0,154,180
1787394528,4414,6,0,157,240
1787394588,4414,6,0,157,300
1787394648,4414,6,0,157,360
1787394708,4414,6,0,157,420
1787394768,4414,6,0,157,480
1787394828,4414,6,0,157,540
1787394888,4414,6,0,157,601
1787394948,4414,6,0,158,661
1787395008,4414,6,0,158,721
1787395069,4414,6,0,158,781
1787395129,4414,6,0,158,841
1787395189,4414,6,0,160,901
1787395249,4414,6,0,163,961
1787395309,4414,6,0,164,1021
1787395369,4414,6,0,165,1081
1787395429,4414,6,0,166,1141
1787395489,4414,6,0,166,1201
1787395549,4414,6,0,166,1261
1787395609,4414,6,0,166,1322
1787395669,4414,6,0,166,1382
1787395730,4414,6,0,167,1442
1787395790,4414,6,0,168,1502
1787395850,4414,6,0,168,1562
1787395910,4414,6,0,168,1622
1787395970,4414,6,0,168,1682
1787396030,4414,6,0,168,1742
1787396090,4414,6,0,168,1802
1787396150,4414,6,0,168,1862
1787396210,4414,6,0,168,1923
1787396270,4414,6,0,168,1983
1787396331,4414,6,0,168,2043
1787396391,4414,6,0,168,2103
1787396451,4414,6,0,168,2163
1787396511,4414,6,0,168,2223
1787396571,4414,6,0,168,2283
1787396631,4414,6,0,168,2343
1787396691,4414,6,0,168,2403
1787396751,4414,6,0,168,2463
1787396811,4414,6,0,168,2524
1787396871,4414,6,0,168,2584
1787396931,4414,6,0,168,2644
1787396991,4414,6,0,168,2704
1787397052,4456,6,0,169,0
1787397112,4456,6,0,169,60
1787397172,4456,6,0,169,120
1787397232,4456,6,0,169,180
1787397292,4456,6,0,170,240
1787397352,4456,6,0,170,300
1787397412,4456,6,0,170,360
1787397472,4456,6,0,170,420
1787397532,4456,6,0,170,480
1787397592,4456,6,0,170,540
1787397653,4456,6,0,170,600
1787397713,4456,6,0,170,661
1787397773,4456,6,0,170,721
1787397833,4456,6,0,170,781
1787397893,4458,6,0,170,0
1787397953,4458,6,0,170,60
1787398013,4458,6,0,170,120
