timestamp,best_edges,instances,total_crashes,total_hangs,plateau_secs
1788761922,5417,6,0,11,960
1788761982,5417,6,0,11,1020
1788762042,5417,6,0,11,1080
1788762102,5417,6,0,11,1140
1788762162,5418,6,0,11,0
1788762222,5418,6,0,11,60
1788762282,5418,6,0,11,120
1788762342,5418,6,0,11,180
1788762402,5418,6,0,11,240
1788762462,5418,6,0,11,300
1788762522,5418,6,0,11,360
1788762582,5418,6,0,11,420
1788762642,5418,6,0,11,480
1788762702,5418,6,0,11,540
1788762762,5418,6,0,11,600
1788762822,5418,6,0,11,660
1788762882,5418,6,0,11,720
1788762942,5418,6,0,11,780
1788763002,5418,6,0,11,840
1788763062,5418,6,0,11,900
1788763122,5418,6,0,11,960
1788763182,5418,6,0,11,1020
1788763242,5418,6,0,11,1080
1788763302,5418,6,0,11,1140
1788763362,5418,6,0,11,1200
1788763422,5418,6,0,11,1260
1788763482,5418,6,0,11,1320
1788763542,5419,6,0,11,0
1788763602,5419,6,0,11,60
1788763662,5419,6,0,11,120
1788763722,5419,6,0,11,180
1788763782,5419,6,0,11,240
1788763842,5419,6,0,11,300
1788763902,5419,6,0,11,360
1788763962,5419,6,0,11,420
1788764023,5419,6,0,11,480
1788764083,5419,6,0,11,540
1788764143,5419,6,0,11,600
1788764203,5419,6,0,11,660
1788764263,5419,6,0,11,720
1788764323,5419,6,0,11,780
1788764383,5419,6,0,11,840
1788764443,5419,6,0,11,900
1788764503,5419,6,0,11,960
1788764563,5420,6,0,11,0
1788764623,5420,6,0,11,60
1788764683,5420,6,0,11,120
1788764743,5420,6,0,11,180
1788764803,5420,6,0,11,240
1788764863,5420,6,0,11,300
1788764923,5420,6,0,11,360
1788764983,5420,6,0,11,420
1788765043,5420,6,0,11,480
1788765103,5420,6,0,11,540
1788765163,5420,6,0,11,600
1788765223,5420,6,0,11,660
1788765283,5420,6,0,11,720
1788765343,5420,6,0,11,780
1788765403,5420,6,0,11,840
1788765463,5421,6,0,11,0
1788765523,5421,6,0,11,60
1788765583,5421,6,0,11,120
1788765643,5470,6,0,11,0
1788765703,5480,6,0,11,0
1788765763,5482,6,0,11,0
1788765823,5482,6,0,11,60
1788765883,5482,6,0,11,120
1788765943,5482,6,0,12,180
1788766003,5482,6,0,12,240
1788766063,5485,6,0,12,0
1788766123,5485,6,0,12,60
1788766183,5485,6,0,12,120
1788766243,5485,6,0,12,180
1788766303,5485,6,0,12,240
1788766363,5485,6,0,12,300
1788766423,5485,6,0,12,360
1788766483,5485,6,0,13,420
1788766543,5485,6,0,13,480
1788766603,5486,6,0,13,0
1788766663,5489,6,0,14,0
1788766723,5489,6,0,14,60
1788766783,5489,6,0,14,120
1788766843,5489,6,0,14,180
1788766903,5494,6,0,14,0
1788766963,5494,6,0,16,60
1788767023,5494,6,0,17,120
1788767084,5494,6,0,17,180
1788767144,5494,6,0,17,240
1788767204,5494,6,0,17,300
1788767264,5494,6,0,17,360
1788767324,5494,6,0,17,420
1788767384,5494,6,0,17,480
1788767444,5494,6,0,17,540
1788767504,5494,6,0,17,600
1788767564,5494,6,0,17,660
1788767624,5494,6,0,17,720
1788767684,5496,6,0,17,0
1788767744,5496,6,0,18,60
1788767804,5497,6,0,19,0
1788767864,5497,6,0,19,60
1788767924,5497,6,0,19,120
1788767984,5497,6,0,20,180
1788768044,5497,6,0,21,240
1788768104,5497,6,0,22,300
1788768164,5498,6,0,22,0
1788768224,5498,6,0,22,60
1788768284,5498,6,0,23,120
1788768344,5499,6,0,23,0
1788768404,5499,6,0,23,60
1788768464,5499,6,0,23,120
1788768524,5501,6,0,23,0
1788768584,5501,6,0,24,60
1788768644,5502,6,0,24,0
1788768704,5502,6,0,24,60
1788768764,5502,6,0,25,120
1788768824,5502,6,0,25,180
1788768884,5502,6,0,25,240
1788768944,5502,6,0,25,300
1788769004,5502,6,0,25,360
1788769064,5506,6,0,25,0
1788769124,5512,6,0,25,0
1788769184,5512,6,0,25,60
1788769244,5512,6,0,25,120
1788769304,5512,6,0,25,180
1788769364,5512,6,0,25,240
1788769424,5512,6,0,25,300
1788769485,5512,6,0,25,360
1788769545,5512,6,0,25,420
1788769605,5513,6,0,25,0
1788769665,5513,6,0,25,60
1788769725,5513,6,0,25,120
1788769785,5513,6,0,25,180
